country,iso,year,emissions,indicator,Ranking
China,CHN,2023,11902503000,Emissions,1
United States,USA,2023,4911391000,Emissions,2
India,IND,2023,3062324500,Emissions,3
Russia,RUS,2023,1815924700,Emissions,4
Japan,JPN,2023,988784700,Emissions,5
Iran,IRN,2023,817879900,Emissions,6
Saudi Arabia,SAU,2023,736205300,Emissions,7
Indonesia,IDN,2023,733223940,Emissions,8
Germany,DEU,2023,596151360,Emissions,9
South Korea,KOR,2023,577416640,Emissions,10
Canada,CAN,2023,549299000,Emissions,11
Brazil,BRA,2023,486470080,Emissions,12
Mexico,MEX,2023,482623460,Emissions,13
Turkey,TUR,2023,432077340,Emissions,14
South Africa,ZAF,2023,401893100,Emissions,15
Australia,AUS,2023,382972000,Emissions,16
Vietnam,VNM,2023,334726080,Emissions,17
Italy,ITA,2023,313460640,Emissions,18
United Kingdom,GBR,2023,305146340,Emissions,19
Poland,POL,2023,289281540,Emissions,20
Malaysia,MYS,2023,288823680,Emissions,21
France,FRA,2023,272475840,Emissions,22
Egypt,EGY,2023,269006200,Emissions,23
Thailand,THA,2023,264388640,Emissions,24
Taiwan,TWN,2023,261152590,Emissions,25
Kazakhstan,KAZ,2023,255161470,Emissions,26
United Arab Emirates,ARE,2023,229383650,Emissions,27
Spain,ESP,2023,221615650,Emissions,28
Pakistan,PAK,2023,200666690,Emissions,29
Argentina,ARG,2023,195805970,Emissions,30
Algeria,DZA,2023,178132770,Emissions,31
Iraq,IRQ,2023,176457950,Emissions,32
Philippines,PHL,2023,154578660,Emissions,33
Ukraine,UKR,2023,136460590,Emissions,34
Nigeria,NGA,2023,128539720,Emissions,35
Uzbekistan,UZB,2023,124768440,Emissions,36
Netherlands,NLD,2023,118668370,Emissions,37
Qatar,QAT,2023,115711816,Emissions,38
Bangladesh,BGD,2023,113426860,Emissions,39
Colombia,COL,2023,105238664,Emissions,40
Venezuela,VEN,2023,99568900,Emissions,41
Kuwait,KWT,2023,99233390,Emissions,42
Czechia,CZE,2023,85624184,Emissions,43
Belgium,BEL,2023,83368480,Emissions,44
Oman,OMN,2023,78511300,Emissions,45
Chile,CHL,2023,77287704,Emissions,46
Morocco,MAR,2023,68667610,Emissions,47
Romania,ROU,2023,68239480,Emissions,48
Turkmenistan,TKM,2023,63362624,Emissions,49
Libya,LBY,2023,60975930,Emissions,50
North Korea,PRK,2023,60764244,Emissions,51
Israel,ISR,2023,59489496,Emissions,52
Austria,AUT,2023,58578050,Emissions,53
Belarus,BLR,2023,56490772,Emissions,54
Peru,PER,2023,55863636,Emissions,55
Greece,GRC,2023,55196200,Emissions,56
Singapore,SGP,2023,49252784,Emissions,57
Mongolia,MNG,2023,46869964,Emissions,58
Azerbaijan,AZE,2023,43936972,Emissions,59
Ecuador,ECU,2023,43172870,Emissions,60
Serbia,SRB,2023,42357788,Emissions,61
Hungary,HUN,2023,40190156,Emissions,62
Norway,NOR,2023,38901000,Emissions,63
Portugal,PRT,2023,37228136,Emissions,64
Sweden,SWE,2023,36556280,Emissions,65
Bahrain,BHR,2023,36526764,Emissions,66
Bulgaria,BGR,2023,36093596,Emissions,67
Ireland,IRL,2023,34432788,Emissions,68
Trinidad and Tobago,TTO,2023,34317936,Emissions,69
Hong Kong,HKG,2023,33871056,Emissions,70
Tunisia,TUN,2023,32792874,Emissions,71
Switzerland,CHE,2023,32737300,Emissions,72
Dominican Republic,DOM,2023,32019646,Emissions,73
Finland,FIN,2023,31622000,Emissions,74
Slovakia,SVK,2023,30739160,Emissions,75
Myanmar,MMR,2023,30233224,Emissions,76
New Zealand,NZL,2023,30119236,Emissions,77
Denmark,DNK,2023,27264778,Emissions,78
Syria,SYR,2023,25503272,Emissions,79
Laos,LAO,2023,24796292,Emissions,80
Bolivia,BOL,2023,23359406,Emissions,81
Cuba,CUB,2023,23097436,Emissions,82
Kenya,KEN,2023,21531040,Emissions,83
Jordan,JOR,2023,21188884,Emissions,84
Angola,AGO,2023,20780540,Emissions,85
Guatemala,GTM,2023,20382320,Emissions,86
Sri Lanka,LKA,2023,20317522,Emissions,87
Bosnia and Herzegovina,BIH,2023,20179128,Emissions,88
Cambodia,KHM,2023,20178442,Emissions,89
Sudan,SDN,2023,20001454,Emissions,90
Ghana,GHA,2023,19647176,Emissions,91
Lebanon,LBN,2023,19475458,Emissions,92
Tanzania,TZA,2023,18066046,Emissions,93
Croatia,HRV,2023,17524080,Emissions,94
Nepal,NPL,2023,16677210,Emissions,95
Ethiopia,ETH,2023,15227142,Emissions,96
Panama,PAN,2023,14018338,Emissions,97
Cote d'Ivoire,CIV,2023,13195601,Emissions,98
Lithuania,LTU,2023,12461681,Emissions,99
Senegal,SEN,2023,11900644,Emissions,100
Brunei,BRN,2023,11769600,Emissions,101
Georgia,GEO,2023,11768941,Emissions,102
Slovenia,SVN,2023,11328390,Emissions,103
Zimbabwe,ZWE,2023,11164030,Emissions,104
Honduras,HND,2023,11042214,Emissions,105
Afghanistan,AFG,2023,11020218,Emissions,106
Kyrgyzstan,KGZ,2023,10152343,Emissions,107
Yemen,YEM,2023,10034892,Emissions,108
Estonia,EST,2023,10018740,Emissions,109
Cameroon,CMR,2023,9941406,Emissions,110
Tajikistan,TJK,2023,9054525,Emissions,111
Kosovo,OWID_KOS,2023,8376729,Emissions,112
Papua New Guinea,PNG,2023,8322015,Emissions,113
Costa Rica,CRI,2023,8279034,Emissions,114
El Salvador,SLV,2023,8230260,Emissions,115
Paraguay,PRY,2023,8139286,Emissions,116
Mozambique,MOZ,2023,8023384,Emissions,117
Uruguay,URY,2023,7865945,Emissions,118
Zambia,ZMB,2023,7748922,Emissions,119
Congo,COG,2023,7674340,Emissions,120
Jamaica,JAM,2023,7648698,Emissions,121
Armenia,ARM,2023,7608323,Emissions,122
North Macedonia,MKD,2023,7448824,Emissions,123
Cyprus,CYP,2023,7174221,Emissions,124
Luxembourg,LUX,2023,6993124,Emissions,125
Mali,MLI,2023,6761669,Emissions,126
Botswana,BWA,2023,6713559,Emissions,127
Latvia,LVA,2023,6512889,Emissions,128
Burkina Faso,BFA,2023,6186583,Emissions,129
Equatorial Guinea,GNQ,2023,6141370,Emissions,130
Moldova,MDA,2023,5962224,Emissions,131
Uganda,UGA,2023,5613657,Emissions,132
Benin,BEN,2023,5592317,Emissions,133
Nicaragua,NIC,2023,5588379,Emissions,134
Gabon,GAB,2023,5410930,Emissions,135
Albania,ALB,2023,5144279,Emissions,136
New Caledonia,NCL,2023,5067623,Emissions,137
Democratic Republic of Congo,COD,2023,4615953,Emissions,138
Madagascar,MDG,2023,4476379,Emissions,139
Mauritania,MRT,2023,4412598,Emissions,140
Namibia,NAM,2023,4174206,Emissions,141
Mauritius,MUS,2023,4138937,Emissions,142
Guinea,GIN,2023,4042787,Emissions,143
Lesotho,LSO,2023,3888782,Emissions,144
Iceland,ISL,2023,3762450,Emissions,145
Guyana,GUY,2023,3545070,Emissions,146
Haiti,HTI,2023,3522026,Emissions,147
Palestine,PSE,2023,3496897,Emissions,148
Chad,TCD,2023,3079389,Emissions,149
Suriname,SUR,2023,2647446,Emissions,150
Togo,TGO,2023,2620035,Emissions,151
Niger,NER,2023,2597634,Emissions,152
Bahamas,BHS,2023,2505352,Emissions,153
Montenegro,MNE,2023,2328379,Emissions,154
Maldives,MDV,2023,2062305,Emissions,155
Curacao,CUW,2023,2023421,Emissions,156
Malta,MLT,2023,1822230,Emissions,157
Malawi,MWI,2023,1752411,Emissions,158
Bhutan,BTN,2023,1713060,Emissions,159
South Sudan,SSD,2023,1580456,Emissions,160
Rwanda,RWA,2023,1540220,Emissions,161
Sierra Leone,SLE,2023,1231506,Emissions,162
Barbados,BRB,2023,1191738,Emissions,163
Fiji,FJI,2023,1146151,Emissions,164
Eswatini,SWZ,2023,1104210,Emissions,165
Macao,MAC,2023,1057495,Emissions,166
French Polynesia,PYF,2023,916154,Emissions,167
Aruba,ABW,2023,867180,Emissions,168
Faroe Islands,FRO,2023,797616,Emissions,169
Liberia,LBR,2023,771001,Emissions,170
Gambia,GMB,2023,710899,Emissions,171
Burundi,BDI,2023,709700,Emissions,172
Sint Maarten (Dutch part),SXM,2023,693003,Emissions,173
Belize,BLZ,2023,667898,Emissions,174
Antigua and Barbuda,ATG,2023,644826,Emissions,175
East Timor,TLS,2023,632121,Emissions,176
Eritrea,ERI,2023,620764,Emissions,177
Greenland,GRL,2023,596405,Emissions,178
Somalia,SOM,2023,557614,Emissions,179
Seychelles,SYC,2023,551015,Emissions,180
Cape Verde,CPV,2023,534969,Emissions,181
Bermuda,BMU,2023,522532,Emissions,182
Saint Lucia,LCA,2023,511414,Emissions,183
Djibouti,DJI,2023,492543,Emissions,184
Comoros,COM,2023,448731,Emissions,185
Andorra,AND,2023,423874,Emissions,186
Turks and Caicos Islands,TCA,2023,370590,Emissions,187
Grenada,GRD,2023,339363,Emissions,188
Solomon Islands,SLB,2023,302829,Emissions,189
Guinea-Bissau,GNB,2023,298003,Emissions,190
Central African Republic,CAF,2023,281213,Emissions,191
Samoa,WSM,2023,256830,Emissions,192
Saint Vincent and the Grenadines,VCT,2023,237178,Emissions,193
Saint Kitts and Nevis,KNA,2023,233472,Emissions,194
Vanuatu,VUT,2023,226164,Emissions,195
Palau,PLW,2023,222330,Emissions,196
Tonga,TON,2023,199331,Emissions,197
British Virgin Islands,VGB,2023,185295,Emissions,198
Sao Tome and Principe,STP,2023,166171,Emissions,199
Dominica,DMA,2023,163060,Emissions,200
Liechtenstein,LIE,2023,157238,Emissions,201
Marshall Islands,MHL,2023,153331,Emissions,202
Micronesia (country),FSM,2023,149498,Emissions,203
Anguilla,AIA,2023,144530,Emissions,204
Bonaire Sint Eustatius and Saba,BES,2023,114883,Emissions,205
Cook Islands,COK,2023,72832,Emissions,206
Kiribati,KIR,2023,68999,Emissions,207
Nauru,NRU,2023,57499,Emissions,208
Saint Pierre and Miquelon,SPM,2023,55588,Emissions,209
Wallis and Futuna,WLF,2023,30666,Emissions,210
Montserrat,MSR,2023,22235,Emissions,211
Tuvalu,TUV,2023,11500,Emissions,212
Saint Helena,SHN,2023,11118,Emissions,213
Niue,NIU,2023,7667,Emissions,214
Antarctica,ATA,2023,0,Emissions,215
Christmas Island,CXR,2023,0,Emissions,215
Qatar,QAT,2023,38.84138,CO2 per Capita,1
Brunei,BRN,2023,25.644121,CO2 per Capita,2
Bahrain,BHR,2023,23.270287,CO2 per Capita,3
Trinidad and Tobago,TTO,2023,22.8339,CO2 per Capita,4
Saudi Arabia,SAU,2023,22.132002,CO2 per Capita,5
United Arab Emirates,ARE,2023,21.554382,CO2 per Capita,6
Kuwait,KWT,2023,20.507933,CO2 per Capita,7
New Caledonia,NCL,2023,17.481855,CO2 per Capita,8
Sint Maarten (Dutch part),SXM,2023,16.201122,CO2 per Capita,9
Oman,OMN,2023,15.549048,CO2 per Capita,10
Faroe Islands,FRO,2023,14.571523,CO2 per Capita,11
Australia,AUS,2023,14.478477,CO2 per Capita,12
United States,USA,2023,14.299026,CO2 per Capita,13
Canada,CAN,2023,13.977395,CO2 per Capita,14
Mongolia,MNG,2023,13.656996,CO2 per Capita,15
Kazakhstan,KAZ,2023,12.550915,CO2 per Capita,16
Palau,PLW,2023,12.524928,CO2 per Capita,17
Russia,RUS,2023,12.485688,CO2 per Capita,18
Taiwan,TWN,2023,11.200025,CO2 per Capita,19
South Korea,KOR,2023,11.15808,CO2 per Capita,20
Curacao,CUW,2023,10.911635,CO2 per Capita,21
Greenland,GRL,2023,10.659416,CO2 per Capita,22
Luxembourg,LUX,2023,10.514379,CO2 per Capita,23
Anguilla,AIA,2023,10.012469,CO2 per Capita,24
Saint Pierre and Miquelon,SPM,2023,9.740319,CO2 per Capita,25
Iceland,ISL,2023,9.70807,CO2 per Capita,26
Iran,IRN,2023,9.0265045,CO2 per Capita,27
Turkmenistan,TKM,2023,8.603866,CO2 per Capita,28
Singapore,SGP,2023,8.50786,CO2 per Capita,29
China,CHN,2023,8.366814,CO2 per Capita,30
Libya,LBY,2023,8.346396,CO2 per Capita,31
Malaysia,MYS,2023,8.222435,CO2 per Capita,32
Bermuda,BMU,2023,8.073608,CO2 per Capita,33
